Time [s],Heating [W],Observed T [K]
1900,3.469,0.019021
1904,3.4689,0.019021
1908,3.4689,0.019666
1912,3.4688,0.020293
1916,3.4688,0.020293
1920,3.4687,0.020293
1924,3.4687,0.020938
1928,3.4687,0.020938
1932,3.4687,0.020938
1936,3.4688,0.021565
1940,3.4688,0.021565
1944,3.4689,0.022191
1948,3.4689,0.022836
1952,3.4688,0.022836
1956,3.4689,0.022836
1960,3.4689,0.022836
1964,3.4688,0.023463
1968,3.4687,0.023463
1972,3.4688,0.024108
1976,3.4687,0.024108
1980,3.4687,0.024735
1984,3.4687,0.024735
1988,3.4687,0.026007
1992,3.4686,0.026007
1996,3.4687,0.026007
2000,3.4685,0.026007
2004,3.4687,0.026633
2008,3.4688,0.027279
2012,3.4687,0.027279
2016,3.4687,0.027279
2020,3.4686,0.02855
2024,3.4687,0.02855
2028,3.4686,0.027905
2032,3.4685,0.02855
2036,3.4686,0.029177
2040,3.4688,0.029177
2044,3.4687,0.029177
2048,3.4685,0.030449
2052,3.4686,0.030449
2056,3.4685,0.030449
2060,3.4686,0.030449
2064,3.4687,0.031075
2068,3.4687,0.031721
2072,3.4686,0.032347
2076,3.4686,0.032347
2080,3.4686,0.032347
2084,3.4688,0.033619
2088,3.4688,0.033619
2092,3.4687,0.033619
2096,3.4686,0.034245
2100,3.4687,0.034891
2104,3.4687,0.034891
2108,3.4687,0.035517
2112,3.4685,0.035517
2116,3.4684,0.036143
2120,3.4684,0.036143
2124,3.4684,0.036789
2128,3.4685,0.036789
2132,3.4685,0.036789
2136,3.4686,0.038061
2140,3.4686,0.038061
2144,3.4686,0.038687
2148,3.4686,0.038687
2152,3.4687,0.038687
2156,3.4685,0.039959
2160,3.4685,0.039959
2164,3.4685,0.039959
2168,3.4685,0.040585
2172,3.4685,0.040585
2176,3.4685,0.041231
2180,3.4685,0.041857
2184,3.4685,0.042483
2188,3.4685,0.041857
2192,3.4685,0.042483
2196,3.4685,0.043129
2200,3.4684,0.043129
2204,3.4683,0.043755
2208,3.4684,0.045027
2212,3.4686,0.045027
2216,3.4686,0.045654
2220,3.4685,0.045654
2224,3.4687,0.046299
2228,3.4687,0.046925
2232,3.4687,0.047571
2236,3.4687,0.047571
2240,3.4688,0.047571
2244,3.4689,0.047571
2248,3.4688,0.048197
2252,3.4687,0.048824
2256,3.4687,0.048824
2260,3.4688,0.049469
2264,3.4687,0.050096
2268,3.4689,0.050096
2272,3.469,0.050741
2276,3.469,0.051368
2280,3.469,0.051368
2284,3.4689,0.051368
2288,3.4688,0.052013
2292,3.4688,0.053266
2296,3.4689,0.053266
2300,3.4688,0.053912
