Messstellennummer,Stationsname,Gewaesser,Parameter,Datum/Uhrzeit,Wert,Einheit,Produkt
61239,Ebnet Dreisam,Dreisam,Q,08.01.2021 17:00,3.37,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,08.01.2021 18:00,3.342,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,08.01.2021 19:00,3.326,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,08.01.2021 20:00,3.313,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,08.01.2021 21:00,3.309,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,08.01.2021 22:00,3.313,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,08.01.2021 23:00,3.292,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,09.01.2021 00:00,3.275,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,09.01.2021 01:00,3.241,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,09.01.2021 02:00,3.22,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,09.01.2021 03:00,3.203,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,09.01.2021 04:00,3.177,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,09.01.2021 05:00,3.152,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,09.01.2021 06:00,3.144,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,09.01.2021 07:00,3.112,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,09.01.2021 08:00,3.084,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,09.01.2021 09:00,3.064,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,09.01.2021 10:00,3.032,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,09.01.2021 11:00,3.032,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,09.01.2021 12:00,3.024,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,09.01.2021 13:00,3.028,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,09.01.2021 14:00,3.072,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,09.01.2021 15:00,3.064,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,09.01.2021 16:00,3.116,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,09.01.2021 17:00,3.132,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,09.01.2021 18:00,3.1,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,09.01.2021 19:00,3.128,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,09.01.2021 20:00,3.112,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,09.01.2021 21:00,3.072,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,09.01.2021 22:00,3.056,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,09.01.2021 23:00,3.072,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,10.01.2021 00:00,3.012,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,10.01.2021 01:00,3,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,10.01.2021 02:00,2.987,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,10.01.2021 03:00,2.962,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,10.01.2021 04:00,2.924,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,10.01.2021 05:00,2.885,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,10.01.2021 06:00,2.856,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,10.01.2021 07:00,2.834,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,10.01.2021 08:00,2.775,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,10.01.2021 09:00,2.732,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,10.01.2021 10:00,2.779,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,10.01.2021 11:00,2.881,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,10.01.2021 12:00,2.881,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,10.01.2021 13:00,2.864,m3/s,Stundenmittelwert
