0108/258-7;GWM 354 A Friedhof, Neudorf;49.175793;8.494504
0119/307-5;GWM 3661 Friedhof, Wiesental;49.227437;8.512679
0205/257-9;GWM 4 BW-Tanklager, Huttenheim;49.20487;8.456068
0128/257-6;GWM 4 Tierpark 8/79, Rheinhausen;49.261599;8.479142
0705/259-0;GWM 5, KA-Knielingen;49.058342;8.339357
0129/257-0;GWM 5 Tierpark 8/79, Rheinhausen;49.260841;8.479908
0993/307-2;GWM 5 Vorwarnmessstelle, Walldorf-Wiesloch;49.29269;8.654137
0149/308-3;GWM 5/74 tief, Weiher;49.192743;8.60763
0066/260-2;GWM 65 WW Durlacher Wald, Karlsruhe;48.98871;8.421756
0207/257-0;GWM 8 BW-Tanklager, Huttenheim;49.201501;8.460132
0708/259-7;GWM 8, KA-Knielingen;49.063058;8.34405
0187/258-6;GWM 8/74 FWR, Graben;49.136315;8.473205
0600/260-0;QF Lochmühle, Ettlingen-Oberweier;48.912522;8.385688
0110/308-6;SBR 410 Vorklärbecken, Bruchsal;49.142315;8.597952
0133/258-0;SBR 470, Friedrichstal;49.118967;8.477534
0238/260-9;TB, Ettlingen;48.940343;8.373972
0057/210-8;TB Pumpwerk, Au am Rhein;48.945602;8.243784
0033/210-9;TB WW Forchheim, Rheinstetten;48.968481;8.313282
0056/210-3;TB WW Neuburgweier, Rheinstetten;48.970203;8.267652
0248/210-7;TB 1, Durmersheim;48.94605;8.333293
0962/258-3;TB 1 Graben WV, Graben-Neudorf;49.147845;8.47774
0299/308-7;TB 3 Firma Hansa Heemann AG, Bruchsal;49.131305;8.555516
1124/308-6;TB 4 WV, Karlsdorf Neuthard;49.133398;8.528245
0061/210-6;TB 5 WW Bietigheim Stadtwerke Gaggenau, Bietigheim;48.914352;8.253967
